,Health Facility Name,Address,Landmark,Locality,Pincode,latitude,longitude,Facility Type,State_Name,\N,Taluka_Name,Block_Name
409,Helwak,5,,Helwak,415205.0,17.376781,73.730112,Primary Health Centre,Maharashtra,Satara,Patan,Patan
410,Kavathe,843,,Kawathe,,17.943028,73.976103,Primary Health Centre,Maharashtra,Satara,Wai,Wai
411,Bhalawadi,,,Bhalawadi,415508.0,16.9788,74.4734,SubCentre,Maharashtra,Satara,Man,Man
412,Kanher,phc kanher,,Kanher,415022.0,17.7322,73.9179,Primary Health Centre,Maharashtra,Satara,Satara,Satara
413,Aadev,\N,,Aadev,415206.0,17.33439,73.897778,SubCentre,Maharashtra,Satara,Patan,Patan
414,Wathar Kiroli,604,,wathar kiroli,415116.0,17.5305,74.1924,Primary Health Centre,Maharashtra,Satara,Koregaon,Koregaon
415,Mayani,,,Mayani,415102.0,17.446195,74.548561,Primary Health Centre,Maharashtra,Satara,Khatav,Khatav
416,RH Undale,,,At Post Undale,415118.0,17.1624,74.0889,Community Health Center,Maharashtra,Satara,Karad,Karad
417,Goshatwadi,\N,,Goshatwadi,415205.0,17.361561,73.752818,SubCentre,Maharashtra,Satara,Patan,Patan
418,Rural Hospital Pimpode Bk.,,,At Post Pimpoda,415525.0,17.9224,74.0948,Community Health Center,Maharashtra,Satara,Koregaon,Koregaon
419,Kumthe,sub center kumathe,,village-kumathe,415002.0,17.5924,73.9612,SubCentre,Maharashtra,Satara,Satara,Satara
420,Mayani,,,Mayani,415102.0,17.446484,74.548676,SubCentre,Maharashtra,Satara,Khatav,Khatav
421,Parut,12,Subcenter Parut,Subcenter Parut,412806.0,17.8835,73.6566,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
422,Rural Hospital Dahiwadi,,,At Post Dahiwadi,415508.0,17.7005,74.5487,Community Health Center,Maharashtra,Satara,Man,Man
423,Kanheri,,,Kanheri,412802.0,18.050601,73.922824,SubCentre,Maharashtra,Satara,Khandala,Khandala
424,Tathavada,\N,,Tathavada,415537.0,17.861324,74.328801,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
425,Nandalapur,\N,,Nandlapur,415539.0,17.2345,74.1759,SubCentre,Maharashtra,Satara,Karad,Karad
426,Yenape,,,Yenape,415111.0,17.1088,74.0364,SubCentre,Maharashtra,Satara,Karad,Karad
427,Somanthali,35,,Somanthali,415523.0,18.074865,74.497495,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
